BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DEATH,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_LOCATION,END_RANGE,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
201701,1,0,201701,9,1000,ARKANSAS,5,2017,January,Flood,C,147,WOODRUFF,LZK,01-JAN-17 00:00:00,CST-6,09-JAN-17 10:00:00,0,0,0,0,0,0.00K,0.00K,River/Stream Gage,,,Heavy Rain,,,,1,RIVERSIDE,1,CAVELL,35.2775,-91.2468,35.2585,-91.2523
201701,1,641,201701,1,730,CALIFORNIA,6,2017,January,Flash Flood,C,71,SAN BERNARDINO,VEF,01-JAN-17 06:41:00,PST-8,01-JAN-17 07:30:00,0,0,0,0,0,1.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,3,YERMO,3,MINNEOLA,34.9043,-116.7727,34.8906,-116.7709
201701,1,1320,201701,3,2200,FLORIDA,12,2017,January,Flood,C,131,WALTON,TAE,01-JAN-17 13:20:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,2,LIBERTY,2,LIBERTY,30.8,-86.23,30.8044,-86.2294
201701,1,1500,201701,1,1530,MISSISSIPPI,28,2017,January,Flash Flood,C,35,FORREST,JAN,01-JAN-17 15:00:00,CST-6,01-JAN-17 15:30:00,0,0,0,0,0,3.00K,0.00K,Department of Highways,,,Heavy Rain,,,,1,RIVERSIDE,1,HATTIESBURG,31.3355,-89.3262,31.3329,-89.3273
201701,1,1900,201701,3,2200,FLORIDA,12,2017,January,Flood,C,131,WALTON,TAE,01-JAN-17 19:00:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,2,CANEY CREEK,1,CANEY CREEK,30.88,-86.23,30.8806,-86.221
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,1,SMITH CROSSROADS,1,SMITH CROSSROADS,30.99,-85.79,30.9935,-85.7875
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,3,SMITH CROSSROADS,1,SMITH CROSSROADS,30.9936,-85.8121,30.994,-85.7828
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,3,BETHLEHEM,3,BETHLEHEM,30.88,-85.72,30.8819,-85.7185
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,3,BARKER STORE,2,BARKER STORE,30.9001,-85.9548,30.9122,-85.9434
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,1,PITTMAN,0,PITTMAN,30.9334,-85.8165,30.9352,-85.8242
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,2,SMITH CROSSROADS,2,MILLER CROSSROADS,30.9624,-85.7854,30.9437,-85.7789
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,1,SMITH CROSSROADS,2,PITTMAN,30.9784,-85.7883,30.9421,-85.7906
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,1,SMITH CROSSROADS,1,SMITH CROSSROADS,30.9737,-85.7573,30.9747,-85.7531
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,1,ROYALS CROSSROADS,2,ROYALS CROSSROADS,30.9587,-85.9927,30.9436,-85.9797
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,1,SMITH CROSSROADS,2,SMITH CROSSROADS,30.9804,-85.7798,30.9602,-85.7931
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,2,PITTMAN,1,PITTMAN,30.9604,-85.807,30.9606,-85.8136
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,2,GRITNEY,2,GRITNEY,30.8,-85.82,30.8021,-85.8254
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,4,PONCE DE LEON,3,PONCE DE LEON,30.7662,-85.9585,30.7583,-85.9447
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,4,BETHLEHEM,4,NOMA,30.87,-85.69,30.8695,-85.6827
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,0,BETHLEHEM,1,BETHLEHEM,30.9198,-85.7357,30.9199,-85.7123
201701,1,2005,201701,3,2200,FLORIDA,12,2017,January,Flood,C,59,HOLMES,TAE,01-JAN-17 20:05:00,CST-6,03-JAN-17 22:00:00,0,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,0,CURRY FERRY,0,IZAGORA,30.92,-85.84,30.9082,-85.8411
201701,1,2045,201701,3,2045,ALABAMA,1,2017,January,Flood,C,61,GENEVA,TAE,01-JAN-17 20:45:00,CST-6,03-JAN-17 20:45:00,0,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,2,BLACK,2,BLACK,31.02,-85.71,31.0205,-85.7062
201701,1,2045,201701,3,2045,ALABAMA,1,2017,January,Flood,C,61,GENEVA,TAE,01-JAN-17 20:45:00,CST-6,03-JAN-17 20:45:00,0,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,3,SLOCOMB,4,SLOCOMB,31.06,-85.62,31.054,-85.6234
201701,1,2045,201701,3,2045,ALABAMA,1,2017,January,Flood,C,61,GENEVA,TAE,01-JAN-17 20:45:00,CST-6,03-JAN-17 20:45:00,0,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,2,BLACK,1,BLACK,31.03,-85.73,31.0282,-85.7318
201701,1,2045,201701,3,2045,ALABAMA,1,2017,January,Flood,C,61,GENEVA,TAE,01-JAN-17 20:45:00,CST-6,03-JAN-17 20:45:00,0,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,4,SLOCOMB,4,SLOCOMB,31.06,-85.63,31.0591,-85.6363
201702,1,0,201702,1,900,ILLINOIS,17,2017,February,Flood,C,59,GALLATIN,PAH,01-FEB-17 00:00:00,CST-6,01-FEB-17 09:00:00,0,0,0,0,0,0.00K,0.00K,River/Stream Gage,,,Heavy Rain,,,,0,SHAWNEETOWN,0,SHAWNEETOWN,37.7,-88.13,37.6942,-88.1289
201702,1,0,201702,1,100,ILLINOIS,17,2017,February,Flood,C,193,WHITE,PAH,01-FEB-17 00:00:00,CST-6,01-FEB-17 01:00:00,0,0,0,0,0,0.00K,0.00K,River/Stream Gage,,,Heavy Rain,,,,1,MAUNIE,2,MAUNIE,38.0354,-88.041,38.0287,-88.0108
