BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DEATH,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_LOCATION,END_RANGE,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
201701,1,400,201701,4,1000,OREGON,41,2017,January,Winter Weather,Z,24,EASTERN CURRY COUNTY & JOSEPHINE COUNTY,MFR,01-JAN-17 04:00:00,PST-8,04-JAN-17 10:00:00,0,0,0,1,1,0.00K,0.00K,Official NWS Observations,,,,,,,,,,,,,,
201701,1,1800,201701,11,0,OREGON,41,2017,January,Cold/Wind Chill,Z,6,GREATER  PORTLAND METRO AREA,PQR,01-JAN-17 18:00:00,PST-8,11-JAN-17 00:00:00,0,0,4,0,4,0.00K,0.00K,Broadcast Media,,,,,,,,,,,,,,
201701,1,1800,201701,2,2100,SOUTH DAKOTA,46,2017,January,Extreme Cold/Wind Chill,Z,15,DEWEY,ABR,01-JAN-17 18:00:00,CST-6,02-JAN-17 21:00:00,0,0,2,0,2,0.00K,0.00K,Newspaper,,,,,,,,,,,,,,
201703,1,800,201703,1,1800,WISCONSIN,55,2017,March,Winter Storm,Z,52,SHEBOYGAN,MKX,01-MAR-17 08:00:00,CST-6,01-MAR-17 18:00:00,0,0,0,1,1,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,
201703,1,525,201703,1,525,INDIANA,18,2017,March,Thunderstorm Wind,C,101,MARTIN,IND,01-MAR-17 05:25:00,EST-5,01-MAR-17 05:25:00,1,0,0,0,1,16.00K,0.00K,Broadcast Media,52,EG,,,,,1,NATCHEZ,1,NATCHEZ,38.6178,-86.7192,38.6178,-86.7192
201703,1,538,201703,1,539,INDIANA,18,2017,March,Tornado,C,117,ORANGE,LMK,01-MAR-17 05:38:00,EST-5,01-MAR-17 05:39:00,1,0,0,0,1,75.00K,0.00K,NWS Storm Survey,,,,EF1,0.1,25,3,LEIPSIC,3,LEIPSIC,38.6884,-86.33,38.688,-86.3282
201703,1,545,201703,1,545,KENTUCKY,21,2017,March,Thunderstorm Wind,C,143,LYON,PAH,01-MAR-17 05:45:00,CST-6,01-MAR-17 05:45:00,3,0,0,0,3,50.00K,0.00K,Public,65,EG,,,,,0,EDDYVILLE,0,EDDYVILLE,37.05,-88.07,37.05,-88.07
201703,1,559,201703,1,606,INDIANA,18,2017,March,Thunderstorm Wind,C,143,SCOTT,LMK,01-MAR-17 05:59:00,EST-5,01-MAR-17 06:06:00,3,0,0,0,3,200.00K,0.00K,NWS Storm Survey,78,EG,,,,,2,AUSTIN,3,NEW FRANKFORT,38.7699,-85.8173,38.7704,-85.6813
201703,1,604,201703,1,615,INDIANA,18,2017,March,Thunderstorm Wind,C,143,SCOTT,LMK,01-MAR-17 06:04:00,EST-5,01-MAR-17 06:15:00,8,0,0,0,8,200.00K,0.00K,NWS Storm Survey,70,EG,,,,,2,VIENNA,0,NABB,38.6253,-85.7904,38.6052,-85.63
201703,1,605,201703,1,607,INDIANA,18,2017,March,Tornado,C,143,SCOTT,LMK,01-MAR-17 06:05:00,EST-5,01-MAR-17 06:07:00,10,0,0,0,10,250.00K,0.00K,NWS Storm Survey,,,,EF1,2.15,125,2,VIENNA,2,VIENNA,38.627,-85.784,38.621,-85.745
201703,1,628,201703,1,636,TENNESSEE,47,2017,March,Thunderstorm Wind,C,125,MONTGOMERY,OHX,01-MAR-17 06:28:00,CST-6,01-MAR-17 06:36:00,2,0,0,0,2,40.00K,0.00K,Emergency Manager,65,EG,,,,,1,BEL AIR ESTATES,1,ST BETHLEHEM,36.5523,-87.4236,36.5675,-87.2912
201703,1,716,201703,1,721,TENNESSEE,47,2017,March,Thunderstorm Wind,C,149,RUTHERFORD,OHX,01-MAR-17 07:16:00,CST-6,01-MAR-17 07:21:00,1,0,0,0,1,30.00K,0.00K,NWS Storm Survey,70,EG,,,,,1,SANDHILL,2,J PERCY PRIEST RES S,36.0387,-86.5608,36.0576,-86.5348
201703,1,733,201703,1,733,KENTUCKY,21,2017,March,Thunderstorm Wind,C,97,HARRISON,LMK,01-MAR-17 07:33:00,EST-5,01-MAR-17 07:33:00,1,0,0,0,1,250.00K,0.00K,NWS Storm Survey,70,EG,,,,,2,POINDEXTER,2,POINDEXTER,38.42,-84.26,38.42,-84.26
201703,1,755,201703,1,755,KENTUCKY,21,2017,March,Thunderstorm Wind,C,97,HARRISON,LMK,01-MAR-17 07:55:00,EST-5,01-MAR-17 07:55:00,2,0,0,0,2,300.00K,0.00K,Emergency Manager,65,EG,,,,,2,ODDVILLE,2,ODDVILLE,38.42,-84.24,38.42,-84.24
201703,1,831,201703,1,831,KENTUCKY,21,2017,March,Thunderstorm Wind,C,65,ESTILL,JKL,01-MAR-17 08:31:00,EST-5,01-MAR-17 08:31:00,1,0,0,0,1,,,NWS Storm Survey,90,EG,,,,,1,WINSTON,1,WINSTON,37.7145,-84.08,37.7145,-84.08
201703,1,1359,201703,1,1359,MARYLAND,24,2017,March,Thunderstorm Wind,C,5,BALTIMORE,LWX,01-MAR-17 13:59:00,EST-5,01-MAR-17 13:59:00,1,0,0,0,1,,,Emergency Manager,52,EG,,,,,1,CHADWICK MANOR,1,CHADWICK MANOR,39.3076,-76.7394,39.3076,-76.7394
